epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,41235.6,0.72954,0.87612,1.12013,0.77081,0.70606,0.75948,0.62203,0.74888,0.84508,1.0797,0.000872857,0.000872857,0.000872857
72,41817,0.72926,0.87031,1.1156,0.7732,0.70577,0.76028,0.62233,0.7483,0.84304,1.07911,0.000869368,0.000869368,0.000869368
73,42395,0.73059,0.87254,1.11669,0.7748,0.70634,0.76077,0.62358,0.74751,0.84193,1.07725,0.000865839,0.000865839,0.000865839
74,42972.4,0.72398,0.86351,1.11276,0.77229,0.70986,0.76212,0.62387,0.74773,0.8396,1.07811,0.000862271,0.000862271,0.000862271
75,43550.2,0.72249,0.86752,1.11515,0.77206,0.71073,0.76287,0.62455,0.74598,0.83607,1.07567,0.000858664,0.000858664,0.000858664
76,44130.1,0.72243,0.85651,1.11006,0.7729,0.71123,0.76353,0.62519,0.7446,0.8339,1.07378,0.000855018,0.000855018,0.000855018
77,44709.8,0.71983,0.85689,1.11202,0.77364,0.71148,0.7643,0.62619,0.74375,0.83257,1.07303,0.000851333,0.000851333,0.000851333
78,45288.5,0.72298,0.86584,1.1145,0.77243,0.71249,0.76498,0.62698,0.74246,0.83026,1.07152,0.000847611,0.000847611,0.000847611
79,45865.5,0.72155,0.85635,1.11163,0.77367,0.71147,0.76548,0.62777,0.74136,0.82821,1.07032,0.000843851,0.000843851,0.000843851
80,46443.2,0.71527,0.84926,1.10633,0.77326,0.71294,0.76627,0.62829,0.74023,0.82567,1.06919,0.000840054,0.000840054,0.000840054
81,47022.1,0.70959,0.84495,1.10535,0.77565,0.71315,0.76701,0.62932,0.73919,0.82286,1.06762,0.00083622,0.00083622,0.00083622
82,47600.2,0.71711,0.84929,1.10894,0.77678,0.71437,0.76769,0.63014,0.7387,0.81953,1.06647,0.000832349,0.000832349,0.000832349
83,48180,0.71418,0.84531,1.10409,0.77852,0.71351,0.76853,0.6309,0.73733,0.8175,1.06414,0.000828443,0.000828443,0.000828443
84,48758.8,0.71079,0.83837,1.10368,0.77892,0.71448,0.7696,0.63237,0.73624,0.81482,1.0619,0.000824502,0.000824502,0.000824502
85,49337.8,0.70765,0.83583,1.10378,0.77943,0.71487,0.77011,0.63308,0.73507,0.8112,1.06041,0.000820525,0.000820525,0.000820525
86,49915.4,0.71216,0.8432,1.10418,0.77917,0.71604,0.77099,0.63382,0.73385,0.80746,1.05916,0.000816514,0.000816514,0.000816514
87,50494.7,0.70359,0.82965,1.10178,0.7833,0.71494,0.77153,0.63411,0.73212,0.80479,1.05686,0.000812468,0.000812468,0.000812468
88,51077.2,0.70471,0.83113,1.09716,0.7825,0.71605,0.77233,0.63499,0.73127,0.80114,1.05623,0.000808389,0.000808389,0.000808389
89,51655.9,0.70175,0.82801,1.09849,0.78107,0.71666,0.7728,0.6357,0.73047,0.79858,1.05397,0.000804277,0.000804277,0.000804277
90,52232.5,0.7051,0.82587,1.10032,0.7813,0.71722,0.77332,0.63627,0.73032,0.79589,1.05399,0.000800131,0.000800131,0.000800131
91,52807.3,0.70026,0.81667,1.09571,0.78135,0.71779,0.77369,0.63718,0.72921,0.79342,1.05158,0.000795954,0.000795954,0.000795954
92,53381.7,0.70323,0.81869,1.09674,0.78316,0.71687,0.77418,0.63774,0.72791,0.79019,1.04986,0.000791744,0.000791744,0.000791744
