t,target_rpm,actual_rpm,cmd,cmd_kind,safety
4.75,0.0,8.134615384615385,0,current,
4.8,0.0,8.038461538461538,0,current,
4.85,0.0,7.961538461538462,0,current,
4.9,0.0,7.865384615384615,0,current,
4.95,0.0,7.769230769230769,0,current,
5.0,0.0,7.673076923076923,0,current,
5.05,0.0,7.596153846153846,0,current,
5.1,0.0,7.5,0,current,
5.15,0.0,7.403846153846154,0,current,
5.2,0.0,7.326923076923077,0,current,
5.25,0.0,7.230769230769231,0,current,
5.3,0.0,7.134615384615385,0,current,
5.35,0.0,7.0576923076923075,0,current,
5.4,0.0,6.961538461538462,0,current,
5.45,0.0,6.884615384615385,0,current,
5.5,0.0,6.788461538461538,0,current,
5.55,0.0,6.6923076923076925,0,current,
5.6,0.0,6.615384615384615,0,current,
5.65,0.0,6.519230769230769,0,current,
5.7,0.0,6.4423076923076925,0,current,
5.75,0.0,6.346153846153846,0,current,
5.8,0.0,6.269230769230769,0,current,
5.85,0.0,6.173076923076923,0,current,
5.9,0.0,6.096153846153846,0,current,
5.95,0.0,6.0,0,current,
